id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_ascii
8509674,baan klang muang chokchai4 village,29440147,janejit,Lat Phrao,13.80735,100.59718,Entire home/apt,3000,1,0,,,1,365,0,True
8120367,1br modern.cityview @30fl.pool.gym.wifi@bts onnut,24987375,piyanuch,Suanluang,13.7118,100.60362,Entire home/apt,900,180,71,2019-07-05,0.81,1,365,0,True
8120571,twin bed room with share bathroom,41115006,bangkok check inn,Bang Rak,13.72037,100.51421,Private room,600,1,0,,,6,319,0,True
8514525,15 mins to suwannabhum airport,42594121,gift,Pra Wet,13.69077,100.64038,Private room,990,1,5,2022-12-07,0.06,21,365,1,True
7517319,抖音爆火海鲜烧烤/一室一厅一卫/5分钟到天铁站ekkamai/东部汽车站/24小时购物点/抓龙筋按摩,39387178,健,Khlong Toei,13.71614,100.58612,Entire home/apt,1483,30,9,2019-01-01,0.17,1,54,0,False
8525403,cozy space opposite conrad htl bkk,43467430,serene,Khlong Toei,13.73715,100.55157,Entire home/apt,1163,15,31,2020-01-22,0.36,2,51,0,True
8124980,"1 min to bts,private room wifi+pool",17784714,boomiejy,Bangkok Yai,13.72784,100.47493,Private room,3600,15,39,2019-06-03,0.47,1,90,0,True
8526022,42place srinakarin,44891839,42place,Pra Wet,13.69202,100.63984,Private room,879,1,0,,,1,365,0,True
8132965,lumpini ville aim huaykwang,35608517,cheongchai,Huai Khwang,13.77238,100.58247,Private room,10000,30,0,,,1,365,0,True
8136447,stay with local-nice simple in local area/wifi 364,24646274,apple,Phaya Thai,13.79168,100.55929,Entire home/apt,750,1,85,2022-12-24,0.96,2,338,10,True
8143524,"comfort home away from the crowd, space 42sqm.wifi",42599074,arisa,Thon buri,13.71407,100.4762,Entire home/apt,750,10,51,2022-11-27,0.58,5,34,2,True
8156806,chic 1 br apt heart of sukhumvit,36401443,taak & vora,Vadhana,13.74228,100.57192,Entire home/apt,1900,2,111,2022-03-19,1.25,2,116,2,True
7518785,silom/suriyawong area,39398746,jean-christophe,Bang Rak,13.7275,100.52472,Entire home/apt,880,30,40,2022-11-18,0.45,1,217,6,True
7527620,"a nice, clean, private condo room",39447678,ton,Phra Khanong,13.69107,100.60993,Private room,800,2,32,2022-12-06,0.37,1,345,6,True
8526852,"1min walk bts thong lo,sukhumvit34",40262107,patty,Khlong Toei,13.72483,100.57525,Entire home/apt,1457,30,200,2021-03-12,2.32,39,51,0,True
8526904,a 68sqm near bts chidlom/siam 2 min walk from sta.,15270186,gee,Parthum Wan,13.74308,100.54165,Entire home/apt,3407,1,13,2022-12-23,0.15,8,339,10,True
8528401,1'bts/1br/chatuchakmarket/cozy/wifi,34705309,korraphat,Phaya Thai,13.79398,100.55327,Private room,1564,360,32,2019-02-05,0.38,1,365,0,True
7536072,"comfy river view transportation hub, affordable",39485522,andy,Bang Sue,13.80895,100.52251,Entire home/apt,1100,28,14,2019-12-06,0.16,1,331,0,True
7537579,"executive accommodation pool gym wifi, near bts",19266319,alex,Vadhana,13.71526,100.59396,Entire home/apt,1250,14,383,2022-12-14,4.27,36,311,10,True
7537716,"*new* eden park bangkok near skytrain, wi-fi, pool",19266319,alex,Khlong Toei,13.71197,100.59503,Entire home/apt,1100,28,206,2022-10-27,2.37,36,327,5,True
8173911,nanda heritage hotel,43139144,nanda heritage,Phra Nakhon,13.75957,100.5064,Private room,2500,1,5,2019-02-11,0.06,1,23,0,True
8530277,as milky way in sky high &nice view,27076746,ferinn,Bang Kapi,13.74627,100.60572,Private room,1250,1,1,2017-09-16,0.02,3,365,0,True
